។ល។	/laʔ/
ជាធម្មតា	/cie tʰoam meaʔ taa/
ជាន់	/coan/
ជានិច្ច	/cie nɨc/
ជាប់	/coap/
ជាប់គ្នា	/coap knie/
ជាប់នឹង	/coap nɨŋ/
ជាប់លេខ	/coap leek/
ជាប្រចាំ	/cie prɑcam/
ជាពិសេស	/cie piʔseeh/
ជាមិនខាន	/cie mɨn kʰaan/
ជាមុន	/cie mun/
ជាមុនសិន	/cie mun sən/
ជាមួយ	/cie muəy/
ជាមួយគ្នា	/cie muəy knie/
ជាមួយនឹង	/cie muəy nɨŋ/
ជាយក្រុង	/ciey kroŋ/
ជាយថាហេតុ	/cie yeaʔtʰaa haet/
ជាសះស្បើយ	/cie sah sbaǝy/
ជាស្រេច	/cie srac/
ជិះ	/cih/
ជិត	/cɨt/
ជិតខាង	/cɨt kʰaaŋ/
ជិតដល់	/cɨt dɑl/
ជិតស្និទ្ធ	/cɨt snǝt/
ជីដូន	/cii doun/
ជីដូនជីតា	/cii doun cii taa/
ជីតា	/cii taa/
ជីរ	/cii/
ជីវៈជាតិ	/ciiveaʔciet/
ជីវិត	/ciivɨt/
ជីវី	/ciivii/
ជុំគ្នា	/cum knie/
ជុំវិញ	/cum vɨɲ/
ជូត	/cuut/
ជូន	/cuun/
ជូនពរ	/cuun pɔɔ/
ជូរ	/cuu/
ជូរអែម	/cuu ʔaem/
ជួន	/cuən/
ជួនជា	/cuən cie/
ជួប	/cuəp/
ជួបគ្នា	/cuəp knie/
ជួបជុំ	/cuəp cum/
ជួយ	/cuəy/
ជួយសង្គ្រោះ	/cuəy sɑŋkrʊəh/
ជួរ	/cuə/
ជួល	/cuəl/
ជួសជុល	/cuəh cul/
ជើង	/cəəŋ/
ជើងពាន	/cəəŋ pien/
ជើងម៉ា	/cəəŋ maa/
ជឿ	/cɨə/
ជែល	/cɛɛl/
ជោក	/cook/
ជោគជ័យ	/cook cey/
ជោរ	/coo/
ជ្រះ	/creah/
ជ្រក	/crɔɔk/
ជ្រកម្លប់	/crɔɔk mlup/
ជ្រញ់	/crʊəɲ/
ជ្រលក់	/crɔlʊək/
ជ្រាប	/criep/
ជ្រាបចូល	/criep coul/
ជ្រាលជ្រៅ	/criel crɨv/
ជ្រុះ	/cruh/
ជ្រុង	/cruŋ/
ជ្រុល	/crul/
ជ្រូក	/cruuk/
ជ្រួសគ្នា	/cruəh knie/
ជ្រើសរើស	/crəəh rəəh/
ជ្រែ	/crɛɛ/
ជ្រែងហោប៉ៅ	/crɛɛŋ hao pav/
ជ្រៅ	/crɨv/
ឈប់	/cʰup/
ឈរ	/cʰɔɔ/
ឈាងចូលលេង	/cʰieŋ coul leeŋ/
ឈាន	/cʰien/
ឈាម	/cʰiem/
ឈឺ	/cʰɨɨ/
ឈឺក្បាល	/cʰɨɨ kbaal/
ឈឺចាប់	/cʰɨɨ cap/
ឈឺពោះ	/cʰɨɨ pʊəh/
ឈុត	/cʰut/
ឈូង	/cʰuuŋ/
ឈូស	/cʰuuh/
ឈើ	/cʰəə/
ឈើគូស	/cʰəə kuuh/
ឈើច្រត់	/cʰəə crɑt/
ឈ្ងុយ	/cŋuy/
ឈ្ងៀម	/cŋiəm/
ឈ្នះ	/cneah/
ឈ្នួល	/cnuəl/
ឈ្មោះ	/cmʊəh/
ឈ្មោល	/cmool/
ឈ្មោះហៅក្រៅ	/cmʊəh hav krav/
ញញឹម	/ɲɔɲɨm/
ញញួរ	/ɲɔɲuə/
ញ៉ាំ	/ɲam/
ញ៉ាំការ	/ɲam kaa/
ញាប់	/ɲoap/
ញាស់	/ɲoah/
ញី	/ɲii/
ញឹក	/ɲɨk/
ញឹកញាប់	/ɲɨk ɲoap/
ញើស	/ɲəəh/
ញេញធ្មេញ	/ɲɨɲ tmɨɲ/
ដ៏	/dɑɑ/
ដំ	/dɑm/
ដក	/dɑɑk/
ដក់	/dɑk/
ដកប្រាក់	/dɑɑk prak/
ដង	/dɑɑŋ/
ដង	/dɑɑŋ/
ដងទន្លេ	/dɑɑŋ tʊənlee/
ដង្កូវ	/dɑŋkəv/
ដង្កូវទឹក	/dɑŋkəv tɨk/
ដង្ហើម	/dɑŋhaəm/
ដដែល	/dɑdael/
ដំណាំ	/dɑmnam/
ដំណើរ	/dɑmnaə/
ដំណើរការ	/dɑmnaə kaa/
ដំណេក	/dɑmneek/
ដំណោះស្រាយ	/dɑmnɑh sraay/
ដណ្ដប់	/dɑndɑp/
ដណ្ដើម	/dɑndaəm/
ដទៃទៀត	/dɑtey tiət/
ដប	/dɑɑp/
ដប់	/dɑp/
ដប់ប្រាំ	/dɑp pram/
ដំបូង	/dɑmbouŋ/
ដំបូល	/dɑmboul/
ដំបៅ	/dɑmbav/
ដរាបណា	/dɑɑ riep naa/
ដំរី	/dɑmrəy/
ដល់	/dɑl/
ដល់ពេលបច្ចុប្បន្ន	/dɑl peel paccopbɑn/
ដល់ហើយ	/dɑl haǝy/
ដំឡូងបារាំង	/dɑmlouŋ baaraŋ/
ដំឡើង	/dɑmlaəŋ/
ដាំ	/dam/
ដាក់	/dak/
ដាក់គ្នា	/dak knie/
ដាក់តាំង	/dak taŋ/
ដាក់បណ្ដាសា	/dak bɑndaasaa/
ដាក់បាត្រ	/dak baat/
ដាក់ពាក្យ	/dak piek/
ដាច់	/dac/
ដាណែត	/daanaet/
ដាំបាយ	/dam baay/
ដារិន	/daarɨn/
ដាលីន	/daalɨn/
ដាស់	/dah/
ដិត	/dət/
ដី	/dəy/
ដីល្បាប់	/dəy lbap/
ដីឥដ្ឋ	/dəy ʔǝt/
ដឹក	/dək/
ដឹកជញ្ជូន	/dək cʊəɲcuun/
ដឹកដៃ	/dək day/
ដឹកទំនិញ	/dək tumnɨɲ/
ដឹង	/dəŋ/
ដឹងខ្លួន	/dəŋ kluən/
ដឹងគុណ	/dəŋ kun/
ដឹងចិត្ត	/dəŋ cət/
ដឺម៉ង់	/dəɨmɑŋ/
ដុំ	/dom/
ដុះ	/doh/
ដុំដែក	/dom daek/
ដុតឆេះ	/dot cʰeh/
ដុល្លារ	/dollaa/
ដុស	/doh/
ដុសធ្មេញ	/doh tmɨɲ/
ដូច	/douc/
ដូចគ្នា	/douc knie/
ដូចគ្នានឹង	/douc knie nɨŋ/
ដូចចង់	/douc cɑŋ/
ដូចជា	/douc cie/
ដូចមុន	/douc mun/
ដូចម្ដេច	/douc mdəc/
ដូច្នេះ	/doucneh/
ដូនតា	/doun taa/
ដូរ	/dou/
ដួល	/duəl/
ដួស	/duəh/
ដើម	/daəm/
ដើមឈើ	/daəm cʰəə/
ដើមដៃ	/daəm day/
ដើមទង	/daəm tɔɔŋ/
ដើមស្រូវ	/daəm srəv/
ដើម្បី	/daəmbəy/
ដើរ	/daə/
ដើរលេង	/daə leeŋ/
ដេក	/deek/
ដេញ	/dəɲ/
ដេញដោល	/dəɲ daol/
ដេរ	/dee/
ដែក	/daek/
ដែកគោល	/daek kool/
ដែរ	/dae/
ដែល	/dael/
ដៃ	/day/
ដៃខ្លី	/day kləy/
ដៃគូ	/day kuu/
ដៃគូសន្ទនា	/day kuu sɑnteaʔnie/
ដៃនាង	/day nieŋ/
ដៃអាវ	/day ʔaav/
ដោះ	/dɑh/
ដោត	/daot/
ដោនឡូត	/daonlout/
ដោយ	/daoy/
ដោយចៃដន្យ	/daoy caydɑn/
ដោយសារ	/daoy saa/
ដោយសារតែ	/daoy saa tae/
ដោយសេរី	/daoy seerǝy/
ដោយឡែក	/daoy laek/
ដោះសា	/dɑh saa/
ដោះសោ	/dɑh sao/
ដោះស្រាយ	/dɑh sraay/
ដ្ឋាន	/tʰaan/
ឋានៈ	/tʰaanaʔ/
ឋានានុក្រម	/tʰaanaanuʔkrɑm/
ឌីជីថល	/diiciitʰɑɑl/
ឌុប	/dup/
ឌូយ	/duuy/
ណា	/naa/
ណា	/naa/
ណា៎	/naa/
ណាត់	/nat/
ណាមួយ	/naa muəy/
ណារី	/naarii/
ណាំវ៉ា	/nam vaa/
ណាស់	/nah/
ណូ	/nou/
ណេះ	/neh/
ណែន	/naen/
ណែនាំ	/nae noam/
ណោះ	/nɑh/
ត	/tɑɑ/
ត	/tɑɑ/
តក់ស្លុត	/tɑk slot/
តង់	/tɑŋ/
តំណាង	/tɑmnaaŋ/
តថ្លៃ	/tɑɑ tlay/
តំបន់	/tɑmbɑn/
តម្កល់	/tɑmkɑl/
តម្បារ	/tɑmbaa/
តម្រង់	/tɑmrɑŋ/
តម្រាប់	/tɑmrap/
តម្រូវ	/tɑmrəv/
តម្រូវការ	/tɑmrəv kaa/
តម្រូវឲ្យ	/tɑmrəv ʔaoy/
តម្រៀប	/tɑmriəp/
តម្លៃ	/tɑmlay/
តស់	/tɑh/
តស៊ូ	/tɑɑ suu/
តា	/taa/
តាក់ស៊ី	/taksii/
តាំង	/taŋ/
តាំងពី	/taŋ pii/
តាម	/taam/
តាមដាន	/taam daan/
តាមពិត	/taam pɨt/
តាមរយៈ	/taam reaʔyeaʔ/
តារា	/taaraa/
តារាង	/taaraaŋ/
តាស	/taah/
តាសអី	/taah ʔəy/
តិច	/təc/
តិចតួច	/təc tuəc/
តិចទៀត	/təc tiət/
តិចមើល	/təc məəl/
តឹង	/təŋ/
តុ	/tok/
តុក្កតា	/tokkaʔtaa/
តុំយ៉ាំ	/tomyam/
តូច	/touc/, /tuuc/
តូប	/toup/
តួ	/tuə/
តួនាទី	/tuə nietii/
តើ	/taə/
តេ	/tee/
តេនីស	/teeniih/
តេឡេ	/teelee/
តែ	/tae/
តែង	/taeŋ/
តែងខ្លួន	/taeŋ kluən/
តែងតែ	/taeŋ tae/
តែងសេចក្តី	/taeŋ səckdəy/
តែប៉ុណ្ណោះ	/tae ponnɑh/
តែពីសតែពាស	/tae piih tae pieh/
តែម	/taem/
តែម្ដង	/tae mdɑɑŋ/
តៃកុង	/tay koŋ/
តោង	/taoŋ/
ត្នោត	/tnaot/
ត្បារ	/tbaa/
ត្បាល់	/tbal/
ត្បៀត	/tbiət/
ត្រកង	/trɑkɑɑŋ/
ត្រង	/trɑɑŋ/
ត្រង់	/trɑŋ/
ត្រង់ណា	/trɑŋ naa/
ត្រចៀក	/trɑciək/
ត្រជាក់	/trɑceak/
ត្រដាង	/trɑdaaŋ/
ត្រលប់	/trɑlɑp/
ត្រសក់	/trɑsɑk/
ត្រឡប់ត្រឡិន	/trɑlɑp trɑlən/
ត្រឡាច	/trɑlaac/
ត្រា	/traa/
ត្រាំ	/tram/
ត្រី	/trəy/
ត្រីដៀប	/trəy diəp/
ត្រីរ៉ស់	/trəy rɑh/
ត្រីអណ្ដែង	/trəy ʔɑndaeŋ/
ត្រឹម	/trəm/
ត្រឹមតែ	/trəm tae/
ត្រឹមត្រូវ	/trəm trəv/
ត្រូពិក	/tropik/
ត្រូវ	/trəv/
ត្រូវការ	/trəv kaa/
ត្រូវចិត្ត	/trəv cət/
ត្រូវតែ	/trəv tae/
ត្រូវនឹង	/trəv nɨŋ/
ត្រូវមាត់	/trəv moat/
ត្រូវអំពើ	/trəv ʔɑmpəə/
ត្រួត	/truət/
ត្រើយ	/traəy/
ត្រើយម្ខាង	/traəy mkʰaaŋ/
ត្រៀម	/triəm/
ត្អើក	/tʔaək/
ថង់	/tʰɑŋ/
ថង់យាម	/tʰɑŋ yiem/
ថត	/tʰɑɑt/
ថយក្រោយ	/tʰɑɑy kraoy/
ថវិកា	/tʰaʔviʔkaa/
ថា	/tʰaa/
ថាច់ស្គ្រីន	/tʰac skriin/
ថាមពល	/tʰaamaʔpʊəl/
ថាស	/tʰaah/
ថាឲ្យ	/tʰaa ʔaoy/
ថី	/tʰəy/
ថូ	/tʰou/
ថូផ្កា	/tʰou pkaa/
ថូហ្វល	/tʰoufɑl/
ថែ	/tʰae/
ថែម	/tʰaem/
ថែរក្សា	/tʰae reaksaa/
ថៃ	/tʰay/
ថោក	/tʰaok/
ថៅកែ	/tʰav kae/
ថ្គាម	/tkiem/
ថ្ងាស	/tŋah/
ថ្ងូរ	/tŋou/
ថ្ងៃ	/tŋay/
ថ្ងៃកំណើត	/tŋay kɑmnaət/
ថ្ងៃក្រោយ	/tŋay kraoy/
ថ្ងៃចន្ទ	/tŋay can/
ថ្ងៃត្រង់	/tŋay trɑŋ/
ថ្ងៃនេះ	/tŋay nih/
ថ្ងៃផុតកំណត់	/tŋay pʰot kɑmnɑt/
ថ្ងៃសីល	/tŋay sǝl/
ថ្ងៃសៅរ៍	/tŋay sav/
ថ្ងៃស្អែក	/tŋay sʔaek/
ថ្ងៃអាទិត្យ	/tŋay ʔaatɨt/
ថ្នម	/tnɑɑm/
ថ្នល់	/tnɑl/, /knɑl/
ថ្នាំ	/tnam/
ថ្នាក់	/tnak/
ថ្នាក់រៀន	/tnak riən/
ថ្នាំដុសធ្មេញ	/tnam doh tmɨɲ/
ថ្នាំសន្លប់	/tnam sɑnlɑp/
ថ្នាំស្ពឹក	/tnam spɨk/
ថ្នេរ	/tnee/
ថ្ពក់	/tpʊək/
ថ្ពាល់	/tpoal/
ថ្ម	/tmɑɑ/
ថ្មី	/tməy/
ថ្មើរ	/tmaə/
ថ្មើរជើង	/tmaə cəəŋ/
ថ្លា	/tlaa/
ថ្លឹង	/tləŋ/
ថ្លើម	/tlaəm/
ថ្លៃ	/tlay/
ថ្វាយបង្គំ	/tvaay bɑŋkum/
ថ្វាយបង្គំព្រះ	/tvaay bɑŋkum preah/
ទ	/tɔɔ/
ទះ	/teah/
ទង	/tɔɔŋ/
ទង់ជាតិ	/tʊəŋ ciet/
ទង្គិច	/tʊəŋkɨc/
ទង្វើ	/tʊəŋvəə/
ទទឹក	/tɔtɨk/
ទទួល	/tɔtuəl/
ទទួលទាន	/tɔtuəl tien/
ទទួលយក	/tɔtuəl yɔɔk/
ទទួលរង	/tɔtuəl rɔɔŋ/
ទទេ	/tɔtee/
ទន់	/tʊən/
ទន់ខ្សោយ	/tʊən ksaoy/
ទំនង	/tumnɔɔŋ/
ទំនប់ទឹក	/tumnup tɨk/
ទំនាក់ទំនង	/tumneak tumnɔɔŋ/
ទំនិញ	/tumnɨɲ/
ទំនុកចិត្ត	/tumnuk cət/
ទំនើប	/tumnəəp/
ទំនេរ	/tumnee/
ទំនេរដៃ	/tumnee day/
ទន្ទឹម	/tʊəntɨm/
ទន្លេ	/tʊənlee/
ទប់	/tup/
ទប់ទល់	/tup tʊəl/
ទំពក់	/tumpʊək/
ទំព័រ	/tumpoa/
ទំពា	/tumpie/
ទំពែក	/tɑmpɛɛk/
ទម្ងន់	/tumŋʊən/
ទម្រ	/tumrɔɔ/
ទម្រេត	/tumreet/
ទម្លាក់	/tumleak/
ទម្លាប់	/tumloap/
ទល់	/tʊəl/
ទល់មុខ	/tʊəl muk/
ទំហំ	/tumhum/
ទា	/tie/
ទាក់	/teak/
ទាក់ជើង	/teak cəəŋ/
ទាក់ទង	/teak tɔɔŋ/
ទាក់ទងគ្នា	/teak tɔɔŋ knie/
ទាំង	/teaŋ/
ទាំងនេះ	/teaŋ nih/
ទាំងនោះ	/teaŋ nuh/
ទាំងមូល	/teaŋ muul/
ទាំងស្រុង	/teaŋ sroŋ/
ទាំងអស់	/teaŋ ʔɑh/
ទាំងអស់គ្នា	/teaŋ ʔɑh knie/
ទាញ	/tieɲ/
ទាន	/tien/
ទាន់	/toan/
ទាប	/tiep/
ទាយ	/tiey/
ទារ	/tie/
ទាល់	/toal/
ទាល់តែ	/toal tae/
ទាស់ត្រង់	/toah trɑŋ/
ទិញ	/tɨɲ/
ទិដ្ឋភាព	/tittʰaʔpʰiep/
ទិន្នន័យ	/tɨnneaʔney/
ទិស	/tɨh/
ទិសដៅ	/tɨh dav/
ទី	/tii/
ទីកន្លែង	/tii kɑnlaeŋ/
ទីក្រុង	/tii kroŋ/
ទីតាំង	/tii taŋ/
ទីទុយ	/tiituy/
ទីទៃ	/tii tey/
ទីធ្លា	/tii tlie/
ទីនេះ	/tii nih/
ទីនោះ	/tii nuh/
ទីផ្សារ	/tii psaa/
ទីរួមខេត្ត	/tii ruəm kʰaet/
ទឹក	/tɨk/
ទឹកកក	/tɨk kɑɑ/
ទឹកក្រឡុក	/tɨk krɑlok/
ទឹកក្រអូប	/tɨk krɑʔoop/
ទឹកក្រូច	/tɨk krouc/
ទឹកខ្មេះ	/tɨk kmeh/
ទឹកចិត្ត	/tɨk cət/
ទឹកជំនន់	/tɨk cumnʊən/
ទឹកជ្រលក់	/tɨk crɔlʊək/
ទឹកដក់	/tɨk dɑk/
ទឹកដោះគោ	/tɨk dɑh koo/
ទឹកត្រី	/tɨk trəy/
ទឹកទន្លេ	/tɨk tʊənlee/
ទឹកប្រាក់	/tɨk prak/
ទឹកភ្លៀង	/tɨk pliəŋ/
ទឹកម៉ាស៊ីន	/tɨk maasin/
ទឹកមុខ	/tɨk muk/
ទឹកមុខស្អុយ	/tɨk muk sʔoy/
ទឹករលក	/tɨk rɔlɔɔk/
ទឹកលិច	/tɨk lɨc/
ទឹកស៊ីអ៊ីវ	/tɨk sii ʔiiv/
ទឹកសុទ្ធ	/tɨk sot/
ទឹកស៊ុប	/tɨk sup/
ទុំ	/tum/
ទុក	/tuk/
ទុកចិត្ត	/tuk cət/
ទុកចោល	/tuk caol/
ទុកដាក់	/tuk dak/
ទុកទុក	/tuk tuk/
ទុក្ខ	/tuk/, /tukkʰaʔ/
ទុយោ	/tuyoo/
ទុរេន	/tuʔreen/, /tʰuureen/
ទូ	/tuu/
ទូក	/tuuk/
ទូកក្ដោង	/tuuk kdaoŋ/
ទូកចែវ	/tuuk caev/
ទូកញ្ចក់	/tuu kɑɲcɑk/
ទូកម៉ាស៊ីន	/tuuk maasin/
ទូកអុំ	/tuuk ʔom/
ទូច	/tuuc/
ទូទាំង	/tuu teaŋ/
ទូទាត់	/tuu toat/
ទូទឹកកក	/tuu tɨk kɑɑk/
ទូទៅ	/tuu tɨv/
ទូន្មាន	/tuunmien/, /tuulmien/
ទូរទស្សន៍	/tuureaʔtʊəh/
ទូរស័ព្ទ	/tuureaʔsap/
ទូរស័ព្ទចល័ត	/tuureaʔsap caʔlat/
ទូរស័ព្ទដៃ	/tuureaʔsap day/
ទូលាយ	/tuuliey/
ទើប	/təəp/
ទើបតែ	/təəp tae/
ទើបនឹង	/təəp nɨŋ/
ទើស	/təəh/
ទើសទែង	/təəh tɛɛŋ/
ទៀង	/tiəŋ/
ទៀត	/tiət/
ទៀតសោត	/tiət saot/
ទៀន	/tien/
ទេ	/tee/
ទេដឹង	/tee dəŋ/
ទេតើ	/tee taə/
ទេសភាព	/teehsaʔpʰiep/
ទេហ	/tee hɑɑ/
ទែម៉ូម៉ែត្រ	/tɛɛmou maet/
ទោះ	/tʊəh/
ទោះជា	/tʊəh cie/
ទោះបីជា	/tʊəh bəy cie/
ទោស	/tooh/
ទៅ	/tɨv/
ទៅកាន់	/tɨv kan/
ទៅដល់	/tɨv dɑl/
ទៅតាម	/tɨv taam/
ទៅមុខ	/tɨv muk/
ទៅវិញទៅមក	/tɨv vɨɲ tɨv mɔɔk/
ទ្រ	/trɔɔ/
ទ្រនាប់ជើង	/trɔnoap cəəŋ/
ទ្រនិច	/trɔnɨc/
ទ្រព្យសម្បត្តិ	/troap sɑmbat/
ទ្រវែង	/trɔvɛɛŋ/
ទ្រាំ	/troam/
ទ្រាប់	/troap/
ទ្រូង	/truuŋ/
ទ្រើស	/trəəh/
ទ្វារ	/tvie/
ធ	/tʰɔɔ/
ធំ	/tʰom/
ធនាគារ	/tʰeaʔniekie/
ធម្មជាតិ	/tʰoammeaʔciet/, /tʰoamʔciet/
ធម្មតា	/tʰoam meaʔ taa/
ធាក់	/tʰeak/
ធាត់	/tʰoat/
ធាតុ	/tʰiet/
ធានា	/tʰienie/
ធានារ៉ាប់រង	/tʰienie rap rɔɔŋ/
ធារ៉ា	/tʰieraa/
ធារី	/tʰierii/
ធី	/tʰii/
ធីតា	/tʰiidaa/
ធុំក្លិន	/tʰum klən/
ធុង	/tʰuŋ/
ធុងសំរាម	/tʰuŋ sɑmraam/
ធុញ	/tʰuɲ/
ធុញថប់	/tʰuɲ tʰɑp/
ធុន	/tʰun/
ធូប	/tʰuup/
ធូរ	/tʰuu/
ធូលី	/tʰuulii/
ធៀបការ	/tʰiəp kaa/
ធ្ងន់	/tŋʊən/
ធ្ងន់ធ្ងរ	/tŋʊən tŋɔɔ/
ធ្នើរ	/tnəə/
ធ្មឹង	/tmɨŋ/
ធ្មេញ	/tmɨɲ/
ធ្យូង	/kcuuŋ/, /tyuuŋ/
ធ្លាក់	/tleak/
ធ្លាប់	/tloap/
ធ្លាប់តែ	/tloap/
ធ្លាយ	/tliey/
ធ្វើ	/tvəə/
ធ្វើការ	/tvəə kaa/
ធ្វើដំណើរ	/tvəə dɑmnaə/
ធ្វើមុខ	/tvəə muk/
ធ្វើឡើង	/tvəə laəŋ/
ធ្វើឲ្យ	/tvəə ʔaoy/
ធ្វេសប្រហែស	/tveeh prɑhaeh/
ន	/nɔɔ/
នំ	/num/
នំខេក	/num kʰeek/
នង្គ័ល	/ʔɑŋkoal/, /lʊəŋkoal/, /neaŋkoal/
នំប៉័ង	/num paŋ/
នំបញ្ចុក	/num bɑɲcok/
ន័យ	/ney/
នរណា	/nɔɔnaa/
នរណាម្នាក់	/nɔɔnaa mneak/
នរោត្តម	/nɔroodɑm/
នា	/nie/
នាំ	/noam/
នាក់	/neak/
នាគ	/niek/
នាគារ	/niekie/
នាំគ្នា	/noam knie/
នាង	/nieŋ/
នាំចូល	/noam coul/
នាទី	/nietii/
នានា	/nienie/
នាយ	/niey/
នារី	/nierii/
នារី	/nierii/
នាឡិកា	/nieleʔkaa/
នាឡិការោទ៍	/nieliʔkaa roo/
នាំឲ្យ	/noam ʔaoy/
និង	/nɨŋ/
និមន្ត	/niʔmʊən/
និមល	/niʔmʊəl/
និយម	/niʔyum/
និយាយ	/niʔyiey/
និយាយរួម	/niʔyiey ruəm/
និយាយលេង	/niʔyiey leeŋ/
និយាយលេងសើច	/niʔyiey leeŋ saǝc/
និវាសដ្ឋាន	/niʔviesattʰaan/
និស្សិត	/nihsət/
នីតា	/niitaa/
នីតិវិធី	/niiteʔviʔtʰii/
នីមួយៗ	/niimuəy niimuəy/
នឹក	/nɨk/
នឹកឃើញ	/nɨk kʰəəɲ/
នឹង	/nɨŋ/
នឹង	/nɨŋ/
នឹង	/nɨŋ/
នឹងគ្នា	/nɨŋ knie/
នុះ	/nuh/
នុង	/nuŋ/
នូវ	/nɨv/
នួក	/nuək/
នួន	/nuən/
នឿយ	/nɨəy/
នៀក	/niək/
នេះ	/nih/
នែ	/nɛɛ/, /nɛʔ/, /nae/
នៃ	/ney/
នោះ	/nuh/
នៅ	/nɨv/
នៅតែ	/nɨv tae/
នៅមុខ	/nɨv muk/
ប	/bɑɑ/
បះ	/bah/
ប៉ះ	/pah/
បក	/bɑɑk/
បក់	/bɑk/
បកប្រែ	/bɑɑk prae/
បង	/bɑɑŋ/
បង់	/bɑŋ/
ប៉ង	/pɑɑŋ/
ប៉ង់	/pɑŋ/
បង់បិទដំបៅ	/bɑŋ bət dɑmbav/
បងប្រុស	/bɑɑŋ proh/
បងប្អូន	/bɑɑŋ pʔoun/
បងប្អូនជីដូន	/bɑɑŋ pʔoun cii doun/
បង់លុយ	/bɑŋ luy/
បងស្រី	/bɑɑŋ srǝy/
បង្ក	/bɑŋkɑɑ/
បង្កង់	/bɑŋkɑŋ/
បង្កប់ន័យ	/bɑŋkɑp ney/
បង្កាន់ដៃ	/bɑŋkan day/
បង្ការ	/bɑŋkaa/
បង្កើត	/bɑŋkaət/
បង្ខំ	/bɑŋkʰɑm/
បង្គន់	/bɑŋkʊən/
បង្គាប់	/bɑŋkoap/
បង្គោល	/bɑŋkool/
បង្រៀន	/bɑŋriən/
បង្វិល	/bɑŋvəl/
បង្ហាញ	/bɑŋhaaɲ/
បង្ហាញខ្លួន	/bɑŋhaaɲ kluən/
បង្ហូត	/bɑŋhoot/
បង្ហូរ	/bɑŋhou/
បង្ហើយ	/bɑŋhaəy/
បង្ហោះ	/bɑŋhɑh/
បង្អង់	/bɑŋʔɑŋ/
បង្អស់	/bɑŋʔɑh/
បង្អុរ	/bɑŋʔol/, /bɑŋʔao/
បង្អួច	/bɑŋʔuəc/
បង្អែក	/bɑŋʔaek/
បង្អែម	/bɑŋʔaem/
ប៉ះចំ	/pah cɑm/
បច្ចុប្បន្ន	/paccopbɑn/
បញ្ចប់	/bɑɲcɑp/
បញ្ចុះបញ្ចូល	/bɑɲcoh bɑɲcoul/
បញ្ចូល	/bɑɲcoul/
បញ្ចេញ	/bɑɲcəɲ/
បញ្ច្រាស	/bɑɲcraah/
បញ្ឆេះ	/bɑɲcʰeh/
បញ្ជរ	/bɑɲcɔɔ/
បញ្ជា	/bɑɲcie/
បញ្ជាក់	/bɑɲceak/
បញ្ជោរ	/bɑɲcoo/
បញ្ជ្រៀត	/bɑɲcriət/
បញ្ឈប់	/bɑɲcʰup/
បញ្ឈរជង្គង់	/bɑɲcʰɔɔ cʊəŋkʊəŋ/
បញ្ញា	/paɲɲaa/
បញ្ញើ	/bɑɲɲaə/
បញ្ហា	/baɲhaa/, /paɲhaa/
បដិមា	/paʔdeʔmaa/
បដិសេធ	/paʔdeʔsaet/
បឋម	/paʔtʰɑm/
បំណង	/bɑmnɑɑŋ/
បំណែក	/bɑmnaek/
បណ្ដាញ	/bɑndaaɲ/
បណ្ដាញទំនាក់ទំនងសង្គម	/bɑndaaɲ tumneak tumnɔɔŋ sɑŋkum/
បណ្ដាញសង្គម	/bɑndaaɲ sɑŋkum/
បណ្ដាលឲ្យ	/bɑndaal ʔaoy/
បណ្ដុំ	/bɑndom/
បណ្ដុះ	/bɑndoh/
បណ្ដូល	/bɑndoul/
បណ្ដើរ	/bɑndaə/
បណ្ដេញ	/bɑndəɲ/
បណ្ដោយ	/bɑndaoy/
បណ្ដោយ	/bɑndaoy/
បណ្ណាគារ	/bannaakie/
បណ្ណាល័យ	/pannaalay/
បត់	/bɑt/
បត់ជើង	/bɑt cəəŋ/
បទ	/bɑt/
ប៉ះទង្គិច	/pah tʊəŋkɨc/
បទនគររាជ	/bɑt nɔkɔɔ riec/
បន់	/bɑn/
បន្ត	/bɑntɑɑ/
បន្តក់	/bɑntɑk/
បន្តិច	/bɑntəc/
បន្តិចក្រោយមក	/bɑntəc kraoy mɔɔk/
បន្តិចបន្តួច	/bɑntəc bɑntuəc/
បន្តុប	/bɑntop/
បន្ថយ	/bɑntʰɑɑy/
បន្ថែម	/bɑntʰaem/
បន្ទះ	/bɑnteah/
បន្ទប់	/bɑntup/
បន្ទប់គេង	/bɑntup keeŋ/
បន្ទប់ទឹក	/bɑntup tɨk/
បន្ទប់ល	/bɑntup lɔɔ/
បន្ទាន់	/bɑntoan/
បន្ទាប់	/bɑntoap/
បន្ទាប់ពី	/bɑntoap pii/
បន្ទាប់មក	/bɑntoap mɔɔk/
បន្ទោស	/bɑntooh/
បន្លា	/bɑnlaa/
បន្លឺ	/bɑnləɨ/, /bɑnlɨɨ/
បន្លែ	/bɑnlae/
បបរ	/bɑbɑɑ/
បំបាត់	/bɑmbat/
បបូរមាត់	/bɑbou moat/
បបួល	/bɑbuəl/
បំបែក	/bɑmbaek/
បំផុត	/bɑmpʰot/
បំពង	/bɑmpɔɔŋ/
បំពង់	/bɑmpʊəŋ/
បំពង់ក	/bɑmpʊəŋ kɑɑ/
បំពង់បឺត	/bɑmpʊəŋ bəɨt/
បំពានច្បាប់	/bɑmpien cbap/
ប៉ះពាល់	/pah poal/
បំពេញ	/bɑmpɨɲ/
បំភ្លឺ	/bɑmplɨɨ/
បម្រាម	/bɑmraam/
បម្រើ	/bɑmraə/
