กก	/gok/
น้อย	/nɔ:i/
นะ	/na/
นักล้อง	/nak.lɔ:ŋ/
นักเลียน	/nak.li:an/
นั่ง	/naŋ/
นัด	/nat/
นั้น	/nan/
นั้นหนะ	/nan.na/
นั้นหละ	/nan.la/
นั้นเอง	/nan.e:ŋ/
นับ	/nap/
นับถือ	/nap.thʉ:/
นัว	/nu:a/
นา	/na:/
น้า	/na:/
นางพะยาบาน	/na:ŋ.pha.ya:.ba:n/
นางเอก	/na:ŋ.e:k/
นาที	/na:.thi:/
นาย	/na:i/
นาลิกา	/na:.li.ga:/
นาลิกาปุก	/na:.li.ga:.puk/
นำ	/nam/
น้ำ	/na:m/
นำกัน	/nam.gan/
น้ำแข็ง	/na:m.khɛŋ/
น้ำโค่ก	/na:m.kho:k/
น้ำเชื้อม	/na:m.chʉ:am/
น้ำแดง	/na:m.dɛ:ŋ/
น้ำตา	/na:m.ta:/
น้ำตาน	/na:m.ta:n/
น้ำตาน	/na:m.ta:n/
น้ำปั่น	/na:m.pan/
น้ำปา	/na:m.pa:/
น้ำเป่า	/na:m.pao/
น้ำมัน	/na:m.man/
น้ำหนัก	/na:m.nak/
น้ำอัดลม	/na:m.at.lom/
นิยม	/ni.yom/
นิ้ว	/niu/
นิ้วก้อย	/niu.gɔ:i/
นิ้วกาง	/niu.ga:ŋ/
นิ้วซี้	/niu.si:/
นิ้วตีน	/niu.ti:n/
นิ้วนาง	/niu.na:ŋ/
นิ้วโป้	/niu.po:/
นี้	/ni:/
นี้หละ	/ni:.la/
นุ่งห่ม	/nuŋ.hom/
นุ้ม	/num/
นูน	/nu:n/
เน่า	/nao/
เนาะ	/nɔ/
เนิน	/nə:n/
เนินเขา	/nə:n.khao/
เนี้ย	/ni:a/
เนี้ย	/ni:a/
เนี้ยง	/ni:aŋ/
เนื้อหา	/nʉ:a.ha:/
แน่	/nɛ:/
แน่ใจ	/nɛ:.jai/
แนบ	/nɛ:p/
แนม	/nɛ:m/
แนมเบิ่ง	/nɛ:m.bəŋ/
แนว	/nɛ:o/
แนวกิน	/nɛ:o.gin/
แนวโกนหนวด	/nɛ:o.go:n.nu:at/
แนวขั้น	/nɛ:o.khan/
แนวค้อง	/nɛ:o.khɔ:ŋ/
แนวญก	/nɛ:o.ɲok/
แนวบำลุง	/nɛ:o.bam.luŋ/
แนวบิด	/nɛ:o.bit/
แนวมัก	/nɛ:o.mak/
แนวใส่	/nɛ:o.sai/
แนวหนีบ	/nɛ:o.ni:p/
แนะนำ	/nɛ.nam/
โน่ดบุ่ก	/no:t.buk/
โนน	/no:n/
ใน	/nai/
ใน	/nai/
ในเมียง	/nai.mi:aŋ/
บ่	/bɔ:/
บก	/bok/
บ่ค่อย	/bɔ:.khɔ:i/
บ่งบอก	/boŋ.bɔ:k/
บดบาด	/bot.ba:t/
บ่ทันได้	/bɔ:.than.dai/
บ่แม่น	/bɔ:.mɛ:n/
บวด	/bu:at/
บอก	/bɔ:k/
บอด	/bɔ:t/
บ่อน	/bɔn/
บอลิกาน	/bɔ:.li.ga:n/
บอลิสุด	/bɔ:.li.sut/
บ่ฮู้อีโหน้อีเหน้	/bɔ:.hu:.i:.no:.i:.ne:/
บัก	/bak/
บักเขียเคีย	/bak.khi:a.khi:a/
บักคัก	/bak.khak/
บักคักหนึ่ง	/bak.khak.nʉŋ/
บักจก	/bak.jok/
บักแตง	/bak.tɛ:ŋ/
บักแตงโม	/bak.tɛ:ŋ.mo:/
บักนาว	/bak.na:o/
บักพาย	/bak.pha:i/
บักพ้าว	/bak.pha:o/
บักพิก	/bak.phik/
บักม่วง	/bak.mu:aŋ/
บักหล้า	/bak.la:/
บักหุ่ง	/bak.huŋ/
บัง	/baŋ/
บังคับ	/baŋ.khap/
บัด	/bat/
บัดนี้	/bat.ni:/
บัดหนิ	/bat.ni/
บันจุ	/ban.ju/
บันชี	/ban.chi:/
บันญากาด	/ban.ya:.ga:t/
บันได	/ban.dai/
บันทัด	/ban.that/
บันทุก	/ban.thuk/
บันเทา	/ban.thao/
บัว	/bu:a/
บ่า	/ba:/
บ้า	/ba:/
บาง	/ba:ŋ/
บางสิ่งบางอย่าง	/ba:ŋ.siŋ.ba:ŋ.ya:ŋ/
บาด	/ba:t/
บาด	/ba:t/
บ่าด	/ba:t/
บาท	/ba:t/
บาน	/ba:n/
บาน	/ba:n/
บ้าน	/ba:n/
บ้านนอก	/ba:n.nɔ:k/
บ้านเมียง	/ba:n.mi:aŋ/
บ้านเลียน	/ba:n.li:an/
บ่าย	/ba:i/
บ่าไหล่	/ba:.lai/
บิน	/bin/
บิน	/bin/
บินทะบาด	/bin.tha.ba:t/
บีบ	/bi:p/
บึ่ด	/bʉt/
บืน	/bʉ:n/
บุ	/bu/
บูชา	/bu:.cha:/
บูด	/bu:t/
เบก	/be:k/
เบก	/be:k/
เบา	/bao/
เบาหวาน	/bao.wa:n/
เบาะ	/bɔ/
เบาะนั่ง	/bɔ.naŋ/
เบิ่ง	/bəŋ/
เบิ่งแญง	/bəŋ.ɲɛ:ŋ/
เบิด	/bə:t/, /bət/
เบิดมื้อเบิดค่ำ	/bət.mʉ:.bət.kham/
เบิ้น	/bən/
เบีย	/bi:a/
แบก	/bɛ:k/
แบ้ง	/bɛŋ/
แบ็ด	/bɛt/
แบ็ดเตอลี้	/bɛt.tə:.li:/
แบน	/bɛ:n/
แบ็น	/bɛn/
แบนเนม	/bɛ:n.ne:m/
แบบ	/bɛ:p/
โบก	/bo:k/
โบด	/bo:t/
ใบ	/bai/
ใบ้	/bai/
ใบดอก	/bai.dɔ:k/
ใบไม้	/bai.mai/
ใบเส็ด	/bai.set/
ใบหน้า	/bai.na:/
ไบบ่าย	/bai.ba:i/
ปก	/pok/
ปกกะติ	/pok.ga.ti/
ปน	/pon/
ปวด	/pu:at/
ป่วย	/pu:ai/
ปอก	/pɔ:k/
ป่อง	/pɔŋ/
ป่อง	/pɔŋ/
ป้องกัน	/pɔŋ.gan/
ปอดพัย	/pɔ:t.phai/
ป่อน	/pɔn/
ป้อน	/pɔ:n/
ปอบ	/pɔ:p/
ป่อย	/pɔ:i/
ปะ	/pa/
ปะชาชน	/pa.cha:.chon/
ปะดับ	/pa.dap/
ปะติทิน	/pa.ti.thin/
ปะติเสด	/pa.ti.se:t/
ปะตู	/pa.tu:/
ปะเทด	/pa.thet/
ปะมาน	/pa.ma:n/
ปะโยก	/pa.yo:k/
ปะโยด	/pa.yo:t/
ปะลินญาโท	/pa.lin.ɲa:.tho:/
ปะลินญาเอก	/pa.lin.ɲa:.e:k/
ปะลิมาน	/pa.li.ma:n/
ปะเลียน	/pa.li:an/
ปะโล่งโป่งเป่ง	/pa.lo:ŋ.po:ŋ.pe:ŋ/
ปะสา	/pa.sa:/
ปั่ก	/pak/
ปัดจุบัน	/pat.ju.ban/
ปัดโท	/pat.tho:/
ปั่น	/pan/
ปับ	/pap/
ปั้ม	/pam/
ปา	/pa:/
ป่า	/pa:/
ป้า	/pa:/
ปาก	/pa:k/
ปากกา	/pa:k.ga:/
ปากกืก	/pa:k.gʉ:k/
ปากด	/pa:.got/
ปากดี	/pa:k.di:/
ปากเป็น	/pa:k.pen/
ปาด	/pa:t/
ป๊าด	/pa:t/
ปาแดก	/pa:.dɛ:k/
ปาตี้	/pa:.ti:/
ปานใด	/pa:n.dai/
ปานนั้น	/pa:n.nan/
ป่าไม้	/pa:.mai/
ปาย	/pa:i/
ป้าย	/pa:i/
ปายทาง	/pa:i.tha:ŋ/
ปิด	/pit/
ปิดบัง	/pit.baŋ/
ปิว	/piu/
ปี	/pi:/
ปี้ๆ	/pi:.pi:/
ปีก	/pi:k/
ปีน	/pi:n/
ปึก	/pʉk/
ปึ่กซึก	/pʉk.sʉk/
ปึกสา	/pʉk.sa:/
ปึ่บ	/pʉp/
ปืน	/bʉ:n/
ปุก	/puk/
ปุง	/puŋ/
ปุ่ม	/pum/
ปุย	/pui/
ปู	/pu:/
ปูก	/pu:k/
ปูน	/pu:n/
เป	/pe:/
เป่ง	/peŋ/
เป็ด	/pet/
เป็น	/pen/
เป็นที่เป็นทาง	/pen.thi:.pen.tha:ŋ/
เปวไฟ	/pe:o.fai/
เป่า	/pao/
เป่า	/pao/
เป้าหมาย	/pao.ma:i/
เปิด	/pə:t/
เปียก	/pi:ak/
เปียก	/pi:ak/
เปียง	/pi:aŋ/
เปี่ยง	/pi:aŋ/
เปี่ยน	/pi:an/
เปี้ยน	/pi:an/
เปียบเทียบ	/pi:ap.thi:ap/
เปี่ยย	/pi:ai/
เปี้ยว	/pi:ao/
แป	/pɛ:/
แป	/pɛ:/
แปง	/pɛ:ŋ/
แปงสีฟัน	/pɛ:ŋ.si:.fan/
แปด	/pɛ:t/
แปน	/pɛ:n/
แป้นพิม	/pɛ:n.phim/
แป่บเดียว	/pɛp.di:ao/
ไป	/pai/
ไป่	/pai/
ผง	/phoŋ/
ผงชูลด	/phoŋ.chu:.lot/
ผงสะหัว	/phoŋ.sa.hu:a/
ผนผะหลิด	/phon.pha.lit/
ผนละไม้	/phon.la.mai/
ผม	/phom/
ผม	/phom/
ผะหลิด	/pha.lit/
ผัก	/phak/
ผักกะเสด	/phak.ga.se:t/
ผักกาดขาว	/phak.ga:t.kha:o/
ผักบุ้ง	/phak.buŋ/
ผักอี่เสด	/phak.i:.se:t/
ผัด	/phat/
ผัว	/phu:a/
ผ่า	/pha:/
ผ้า	/pha:/
ผ้าขนหนู	/pha:.khon.nu:/
ผ้าเซ็ดโต	/pha:.set.to:/
ผ่าน	/pha:n/
ผ้าปูโต่ะ	/pha:.pu:.to/
ผ้าม้าน	/pha:.ma:n/
ผาย	/pha:i/
ผ้าห่ม	/pha:.hom/
ผิดกดหมาย	/phit.got.ma:i/
ผิดใจ	/phit.jai/
ผิว	/piu/
ผิวหนัง	/phiu.naŋ/
ผืน	/phʉ:n/
ผูก	/phu:k/
เผ็ด	/phet/
เผา	/phao/
เผี้ย	/phi:a/
แผ	/phɛ:/
แผ่น	/phɛn/
แผนที่	/phɛ:n.thi:/
แผนผัง	/phɛ:n.phaŋ/
โผ่	/pho:/
ใผ	/phai/
ฝน	/fon/
ฝะลั่ง	/fa.laŋ/
ฝักบัว	/fak.bu:a/
ฝั่ง	/faŋ/
ฝัน	/fan/
ฝา	/fa:/
ฝาก	/fa:k/
ฝ่าตีน	/fa:.ti:n/
ฝาน	/fa:n/
ฝาผะหนัง	/fa:.pha:.naŋ/
ฝ่าย	/fa:i/
ฝิงไฟ	/fiŋ.fai/
เฝ้า	/fao/
พกพา	/phok.pha:/
พวก	/phu:ak/
พวงมาลัย	/phu:aŋ.ma:.lai/
พวน	/phu:an/
พอ	/phɔ:/
พ่อ	/phɔ:/
พ้อ	/phɔ:/
พ่อค้า	/phɔ:.kha:/
พอใจ	/phɔ:.jai/
พอดี	/phɔ:.di:/
พอน	/phɔ:n/
พอปะมาน	/phɔ:.pa.ma:n/
พ้อม	/phɔ:m/
พ้อม	/phɔ:m/
พ้อมกัน	/phɔ:m.gan/
พ้อมเพียง	/phɔ:m.phi:aŋ/
พอสมควน	/phɔ:.som.khu:an/
พ่อใหญ่	/phɔ:.ɲai/
พะ	/pha/
พะทัม	/pha.tham/
พะทาด	/pha.tha:t/
พะนม	/pha.nom/
พะนักงาน	/pha.nak.ŋa:n/
พะพุดทะเจ้า	/pha.phut.tha.jao/
พะพุดทะลูบ	/pha.phut.tha.lu:p/
พะม่า	/pha.ma:/
พะยาบาน	/pha.ya:.ba:n/
พะละกำลัง	/pha.la.gam.laŋ/
พะลัง	/pha.laŋ/
พะลังงาน	/pha.laŋ.ŋa:n/
พะสะติก	/pha.sa.tik/
พะอาทิด	/pha.a:.thit/
พะเอก	/pha.e:k/
พัก	/phak/
พัง	/phaŋ/
พัด	/phat/
พัดลม	/phat.lom/
พัน	/phan/
พัน	/phan/
พับ	/phap/
พับเพียบ	/phap.phi:ap/
พัย	/phai/
พั้ว	/phu:a/
พา	/pha:/
พาก	/pha:k/
พาเข้า	/pha:.khao/
พาชะนะ	/pha:.cha.na/
พาบ	/pha:p/
พาบถ่าย	/pha:p.tha:i/
พาบวาด	/pha:p.wa:t/
พาย	/pha:i/
พาย	/pha:i/
พาสา	/pha:.sa:/
พาหะนะ	/pha:.ha.na/
พิดสุนักบ้า	/phit.su.nak.ba:/
พิม	/phim/
พี้	/phi:/
พี่ซาย	/phi:.sa:i/
พี่สาว	/phi:.sa:o/
พึสะจิกาย๊น	/phʉ.sa.ji.ga:.yon/
พึสะพาคม	/phʉ.sa.pha:.khom/
พืด	/phʉ:t/
พื้น	/phʉ:n/
พื้นดิน	/phʉ:n.din/
พื้นที้	/phʉ:n.thi:/
พุ	/phu/
พุข้า	/phu.kha:/
พุซาย	/phu.sa:i/
พุเดียว	/phu.di:ao/
พุโดยสาน	/phu.do:i.sa:n/
พุใด	/phu.dai/
พุเถ้า	/phu.thao/
พุโถ	/phu.tho:/
พุ้น	/phun/
พุ้นหนะ	/phun.na/
พุ้นหละ	/phun.la/
พุ้นแหล้ว	/phun.lɛ:o/
พุบ่าว	/phu.ba:o/
พุป่วย	/phu.pu:ai/
พุล้าย	/phu.la:i/
พุสาว	/phu.sa:o/
พุหญิง	/phu.ɲiŋ/
พุใหญ่	/phu.ɲai/
พุใหญ่บ้าน	/phu.ɲai.ba:n/
พู	/phu:/
พูเขา	/phu:.khao/
พูมใจ	/phu:m.jai/
พูมถาน	/phu:m.tha:n/
พูมิพาก	/phu:.mi.pha:k/
เพ	/phe:/
เพง	/phe:ŋ/
เพงซาด	/phe:ŋ.sa:t/
เพ็ด	/phet/
เพดาน	/phe:.da:n/
เพน	/phe:n/
เพาะว่า	/phɔ.wa:/
เพาะสะนั้นแล้ว	/phɔ.sa.nan.lɛ:o/
เพิง	/phə:ŋ/
เพิดเพิน	/phə:t.phə:n/
เพิ่น	/phən/
เพิ้ม	/phə:m/
เพีย	/phi:a/
เพี่ย	/phi:a/
เพียง	/phi:aŋ/
เพื่อ	/phʉ:a/
เพื่อที่	/phʉ:a.thi:/
แพง	/phɛ:ŋ/
โพด	/pho:t/
โพดโพ	/pho:t.pho:/
ไพเลาะ	/phai.lɔ/
ฟ้ง	/foŋ/
ฟอง	/fɔ:ŋ/
ฟองน้ำ	/fɔ:ŋ.na:m/
ฟัง	/faŋ/
ฟัน	/fan/
ฟัน	/fan/
ฟ้า	/fa:/
ฟ้าผ่า	/fa:.pha:/
ฟ้าว	/fa:o/
ฟิ่ว	/fiu/
ฟิสิก	/fi.sik/
ฟืน	/fʉ:n/
ฟุดบาด	/fut.ba:t/
ฟู	/fu:/
เฟอนิเจอ	/fə:.ni.jə:/
เฟียง	/fi:aŋ/
แฟน	/fɛ:n/
แฟบ	/fɛ:p/
ไฟ	/fai/
ไฟแซ็ก	/fai.sɛk/
ไฟฟ้า	/fai.fa:/
มกกะลาคม	/mok.ga.la:.khom/
ม่น	/mon/
ม่วน	/mu:an/
ม่วน	/mu:an/
มวนอากาด	/mu:an.a:.ga:t/
มอ	/mɔ:/
มอเตอไซ	/mɔ:.tə:.sai/
มอบ	/mɔ:p/
มะละกอ	/ma.la.gɔ:/
มะเล็ด	/ma.let/
มะเล็ดพัน	/ma.let.phan/
มะโล่งโจ่งเจ่ง	/ma.lo:ŋ.jo:ŋ.je:ŋ/
มัก	/mak/
มัด	/mat/
มัน	/man/
มัว	/mu:a/
มั่วซั่ว	/mu:a.su:a/
มา	/ma:/
ม้า	/ma:/
มากกว่า	/ma:k.gwa:/
มากมาย	/ma:k.ma:i/
มาละย้าด	/ma:.la.ya:t/
ม่ำ	/mam/
มิด	/mit/
มิดซิด	/mit.sit/
มิถุนาย๊น	/mi.thu.na:.yon/
มี	/mi:/
มีด	/mi:t/
มีดโกน	/mi:t.go:n/
มีดโกนหนวด	/mi:t.go:n.nu:at/
มีนา	/mi:.na:/
มีนาคม	/mi:.na:.khom/
มีแฮง	/mi:.hɛ:ŋ/
มึง	/mʉŋ/
มึน	/mʉn/
มืด	/mʉ:t/
มืน	/mʉ:n/
มือ	/mʉ:/
มื้อ	/mʉ:/
มื้อก่อน	/mʉ:.gɔ:n/
มื้อแก้ง	/mʉ:.gɛ:ŋ/
มื้อคืน	/mʉ:.khʉ:n/
มื้อเซ้า	/mʉ:.sao/
มื้อนี้	/mʉ:.ni:/
มื้อแลง	/mʉ:.lɛ:ŋ/
มื้อวาน	/mʉ:.wa:n/
มื้อเว็น	/mʉ:.wen/
มื้อหลัง	/mʉ:.laŋ/
มื้ออื่น	/mʉ:.ʉ:n/
มื้อฮือ	/mʉ:.hʉ:/
มุง	/muŋ/
มุด	/mut/
มุ่น	/mun/
มุม	/mum/
เม็ด	/met/
เม็ดพัน	/met.phan/
เม้ม	/mem/
เมสา	/me:.sa:/
เมสาย๊น	/me:.sa:.yon/
เมา	/mao/
เมา	/mao/
เมีย	/mi:a/
เมียง	/mi:aŋ/
เมียงหลวง	/mi:aŋ.lu:aŋ/
เมี้ยน	/mi:an/
เมี่ยย	/mi:ai/
แม่	/mɛ:/
แม่ค้า	/mɛ:.kha:/
แมง	/mɛ:ŋ/
แมงวัน	/mɛ:ŋ.wan/
แมงหวี่	/mɛ:ŋ.wi:/
แม่ซี	/mɛ:.si:/
แม่น	/mɛ:n/
แม่นบ่	/mɛ:n.bɔ:/
แม่น้ำ	/mɛ:.na:m/
แม่บ้าน	/mɛ:.ba:n/
แมว	/mɛ:o/
แม่หญิง	/mɛ:.ɲiŋ/
โมง	/mo:ŋ/
โมโห	/mo:.ho:/
ไม	/ma:i/
ไม้	/mai/
ไม้ขีด	/mai.khi:t/
ไม้ไผ่	/mai.phai/
ย๊น	/yon/
ยอก	/yɔ:k/
ย่อน	/yɔn/
ยัง	/yaŋ/
ยา	/ya:/
ยาง	/ya:ŋ/
ย้าง	/ya:ŋ/
ยาดโย๊ม	/ya:t.yo:m/
ย้าน	/ya:n/
ยานพาหะนะ	/ya:n.pha:.ha.na/
ยาสีฟัน	/ya:.si:.fan/
ยินดี	/yin.di:/
ยิ้ม	/yim/
ยี้บ	/yi:p/
ยี้สิบ	/yi:.sip/
ยี่ห้อ	/yi:.hɔ:/
ยี้ฮ้อ	/yi:.hɔ:/
ยืน	/yʉ:n/
ยื่น	/yʉ:n/
เย็น	/yen/
แย้ก	/yɛ:k/
ลง	/loŋ/
ลงทุน	/loŋ.thun/
ลด	/lot/
ลด	/lot/
ลด	/lot/
ลดกะบะ	/lot.ga.ba/
ลดเก็ง	/lot.geŋ/
ลดขนของ	/lot.khon.khɔ:ŋ/
ลดเข็น	/lot.khen/
ลดซาด	/lot.sa:t/
ลดตุ่กตุ่ก	/lot.tuk.tuk/
ลดตู้	/lot.tu:/
ลดไถ	/lot.thai/
ลดแท็กซี้	/lot.thɛk.si:/
ลดบั่ด	/lot.bat/
ลดบันทุก	/lot.ban.thuk/
ลดปะจำทาง	/lot.pa.jam.tha:ŋ/
ลดพิกอั่บ	/lot.phik.ap/
ลดไฟ	/lot.fai/
ลดเม	/lot.me:/
ลดยน	/lot.yon/
ลดลับส่ง	/lot.lap.soŋ/
ลดโลงบาน	/lot.lo:ŋ.ba:n/
ลดโลงพะยาบาน	/lot.lo:ŋ.pha.ya:.ba:n/
ลดสามล้อ	/lot.sa:m.lɔ:/
ลดสิบล้อ	/lot.sip.lɔ:/
ล้น	/lon/
ลบ	/lop/
ลม	/lom/
ลวก	/lu:ak/
ลวดลาย	/lu:at.la:i/
ลวม	/lu:am/
ล่วมกัน	/lu:am.gan/
ลวย	/lu:ai/
ล้อ	/lɔ:/
ล็อก	/lɔk/
ลอง	/lɔ:ŋ/
ล้อง	/lɔ:ŋ/
ลองเท้าผ้าใบ	/lɔ:ŋ.thao.pha:.bai/
ลอด	/lɔ:t/
ลอบ	/lɔ:p/
ล้อม	/lɔ:m/
ล้อมลอบ	/lɔ:m.lɔ:p/
ลอย	/lɔ:i/
ล้อย	/lɔ:i/
ละ	/la/
ละเกะละกะ	/la.ge.la.ga/
ละคอน	/la.khɔ:n/
ละงับ	/la.ŋap/
ละบาย	/la.ba:i/
ละเบียง	/la.bi:aŋ/
ละเบียบ	/la.bi:ap/
ละยะ	/la.ya/
ละลาย	/la.la:i/
ละวัง	/la.waŋ/
ละว่าง	/la.wa:ŋ/
ละแวก	/la.wɛ:k/
ละเหย	/la.hə:i/
ละเหล้น	/la.len/
ลัก	/lak/
ลักสะนะ	/lak.sa.na/
ลักสา	/lak.sa:/
ลัง	/laŋ/
ลับ	/lap/
ลับจ้าง	/lap.ja:ŋ/
ลับลู้	/lap.lu:/
ลับส่ง	/lap.soŋ/
ล้า	/la:/
ลาก	/la:k/
ลาคา	/la:.kha:/
ลาง	/la:ŋ/
ล้าง	/la:ŋ/
ล้าง	/la:ŋ/
ล้างกาย	/la:ŋ.ga:i/
ลาด	/la:t/
ลาน	/la:n/
ล้าน	/la:n/
ล้าน	/la:n/
ล้านขายของ	/la:n.kha:i.khɔ:ŋ/
ล้านตัดผม	/la:n.tat.phom/
ล้านแนวกิน	/la:n.nɛ:o.gin/
ล้านอาหาน	/la:n.a:.ha:n/
ล้าย	/la:i/
ลายกาน	/la:i.ga:n/
ลายได้	/la:i.dai/
ลาว	/la:o/
ลาวๆ	/la:o.la:o/
ลำ	/lam/
ลำ	/lam/
ลำคาน	/lam.kha:n/
ลำต้น	/lam.ton/
ลำโต	/lam.to:/
ลำโพง	/lam.pho:ŋ/
ลำไย	/lam.yai/
ลำไส้	/lam.sai/
ลิง	/liŋ/
ลิน	/lin/
ลิ้น	/lin/
ลิ้นชัก	/lin.chak/
ลิบบิ้น	/lip.bin/
ลี้	/li:/
ลีไซเคิน	/li:.sai.kən/
ลีโหมด	/li:.mo:t/
ลึก	/lʉk/
ลึดู	/lʉ.du:/
ลึดูฝน	/lʉ.du:.fon/
ลึดูแล้ง	/lʉ.du:.lɛ:ŋ/
ลึดูฮ้อน	/lʉ.du:.hɔ:n/
ลืม	/lʉ:m/
ลุก	/luk/
ลุง	/luŋ/
ลุน	/lun/
ลุ้น	/lun/
ลุล่วง	/lu.lu:aŋ/
ลู้	/lu:/
ลูก	/lu:k/
ลูกกก	/lu:k.gok/
ลูกค้า	/lu:k.kha:/
ลูกซาย	/lu:k.sa:i/
ลูกซิ้น	/lu:k.sin/
ลูกบอน	/lu:k.bɔ:n/
ลูกสอน	/lu:k.sɔ:n/
ลูกสาว	/lu:k.sa:o/
ลูกหวีด	/lu:k.wi:t/
ลู้จัก	/lu:.jak/
ลูบ	/lu:p/
ลูบ	/lu:p/
ลูบแบบ	/lu:p.bɛ:p/
ลูบพาบ	/lu:p.phap/
ลูบพาบถ่าย	/lu:p.pha:p.tha:i/
ลูบลัก	/lu:p.lak/
ลู้สึก	/lu:.sʉk/
เล็ก	/lek/
เลข	/le:k/
เลน	/le:n/
เล็บ	/lep/
เล็บตีน	/lep.ti:n/
เลย	/lə:i/
เลว	/le:o/
เล็ว	/leo/
เลาะ	/lɔ/
เลิก	/lə:k/
เลิ้ม	/lə:m/
เลีย	/li:a/
เลียก	/li:ak/
เลียง	/li:aŋ/
เลี่ยง	/li:aŋ/
เลี้ยง	/li:aŋ/
เลียด	/li:at/
เลียน	/li:an/
เลี้ยน	/li:an/
เลียบ	/li:ap/
เลียบ	/li:ap/
เลียบล้อย	/li:ap.lɔ:i/
เลี้ยยๆ	/li:ai/
แลก	/lɛ:k/
แลง	/lɛ:ŋ/
แล่น	/lɛ:n/
แลบลิ้น	/lɛ:p.lin/
แล้ว	/lɛ:o/
แล้วแต่	/lɛ:o.tɛ:/
และ	/lɛ/
โล	/lo:/
โลก	/lo:k/
โลก	/lo:k/
โล้ง	/lo:ŋ/
โล่งโจ่ง	/lo:ŋ.jo:ŋ/
โลงบาน	/lo:ŋ.ba:n/
โลงพะยาบาน	/lo:ŋ.pha.ya:.ba:n/
โลงเลียน	/lo:ŋ.li:an/
โลงหนัง	/lo:ŋ.naŋ/
โลตั่ด	/lo:.tat/
โล้น	/lo:n/
ไล่	/lai/
วง	/woŋ/
วงกม	/woŋ.gom/
วงเล็บ	/woŋ.lep/
ว้อ	/wɔ:/
วะสั้น	/wa.san/
วั่งหั้น	/waŋ.han/
วัด	/wat/
วัดทะนะทัม	/wat.tha.na.tham/
วัน	/wan/
วันเกิด	/wan.gə:t/
วันจัน	/wan.jan/
วันพะ	/wan.pha/
วันพะลึหัด	/wan.pha.lʉ.hat/
วันพุด	/wan.phut/
วันสุก	/wan.suk/
วันเสา	/wan.sao/
วันอังคาน	/wan.aŋ.kha:n/
วันอาทิด	/wan.a:.thit/
วัย	/wai/
วัยทอง	/wai.thɔ:ŋ/
วัยลุ้น	/wai.lun/
วา	/wa:/
ว่า	/wa:/
วาง	/wa:ŋ/
ว้าง	/wa:ŋ/
วาจา	/wa:.ja:/
วาด	/wa:t/
ว่าแต่	/wa:.tɛ:/
วิชา	/wi.cha:/
วิดีโอ	/wi.di:.o:/
วิทะยุ	/wi.tha.yu/
วิที	/wi.thi:/
วินาที	/wi.na:.thi:/
เวลา	/we:.la:/
เว้า	/wao/
เว้าพื้น	/wao.phʉ:n/
เวียดนาม	/vi:at.na:m/
แว่นตา	/wɛn.ta:/
ไว	/wai/
ไว้	/wai/
ไว้ถ้า	/wai.tha:/
สกกะปก	/sok.ga.pok/
ส่ง	/soŋ/
ส้ง	/soŋ/
สงคาม	/soŋ.kha:m/
สงสัย	/soŋ.sai/
สด	/sot/
สดซื้น	/sot.sʉ:n/
สดใส	/sot.sai/
ส้น	/son/
สนทะนา	/son.tha.na:/
สบ	/sop/
ส้ม	/som/
ส้ม	/som/
ส้มตำ	/som.tam/
สมมุด	/som.mut/
สวด	/su:at/
สวน	/su:an/
ส่วน	/su:an/
ส่วนโต	/su:an.to:/
ส่วนปะกอบ	/su:an.pa.gɔ:p/
ส่วนมาก	/su:an.ma:k/
สวนสัด	/su:an.sat/
ส่วนหน้อย	/su:an.nɔ:i/
ส่วนหลาย	/su:an.la:i/
สอก	/sɔ:k/
สอง	/sɔ:ŋ/
ส่อง	/sɔŋ/
สอด	/sɔ:t/
สอน	/sɔ:n/
สอบ	/sɔ:p/
ส้อม	/sɔm/
ส้อม	/sɔm/
ส้อมแซม	/sɔm.sɛ:m/
ส้อย	/sɔ:i/
สะ	/sa/
สะ	/sa/
สะดวก	/sa.du:ak/
สะดุด	/sa.dut/
สะแดง	/sa.dɛ:ŋ/
สะถานที่	/sa.tha:n.ti:/
สะถานะกาน	/sa.tha:.na.ga:n/
สะถานี	/sa.tha:.ni:/
สะบาย	/sa.ba:i/
สะบู	/sa.bu:/
สะพาน	/sa.pha:n/
สะพาย	/sa.pha:i/
สะมะแจะ	/sa.ma.jɛ/
สะมาชิก	/sa.ma:.chik/
สะวิด	/sa.wit/
สะหนาม	/sa.na:m/
สะหนามกีลา	/sa.na:m.gi:.la:/
สะหนิด	/sa.nit/
สะหมอง	/sa.mɔ:ŋ/
สะหมัย	/sa.mai/
สะหมุด	/sa.mut/
สะหมุนไพ	/sa.mun.phai/
สะหลิด	/sa.lid/
สะหลึง	/sa.lʉŋ/
สะหลุบ	/sa.lup/
สะหวัดดี	/sa.wat.di:/
สะหว่าง	/sa.wa:ŋ/
สะหว้ายน้ำ	/sa.wa:i.na:m/
สะออน	/sa.ɔ:n/
สะอาด	/sa.a:t/
สะอาดหูสะอาดตา	/sa.a:t.hu:.sa.a:t.ta:/
สักสิด	/sak.sit/
สั่ง	/saŋ/
สังสัน	/saŋ.san/
สัด	/sat/
สัดเคิ่งบกเคิ่งน้ำ	/sat.khəŋ.bok.khəŋ.na:m/
สัดเลี้ยง	/sat.li:aŋ/
สัน	/san/
สั่น	/san/
สั้น	/san/
สันญะลัก	/san.ɲa.lak/
